Name,Stars,Review
Fayrouz Elgamal,1,The delivery guy was weird
Mayada,1,كان بشع ومزيت. وحش اوي
Fam,2,المستوي في النازل اوي
Wafa Hashim,5,very good glass noodles
Hala,3,Was not fresh and not even hot
Menna Waleed,4,"delicious but arrived too late, and the size of the sushi was smaller than the normal I order the same order every time but this time it's smaller than usual!"
Sara Emad,5,perfect
raghda,1,كمية الشوربه قليله جدا علي سعرها والسوشي مش جاي معاه صويا صوص ولا واسابي
rowan amin,1,السوشي مكنش معمول كويس كان بيتفكك و يقع من بعضه
Marwa,1,الاكل كان بارد وواصل متاخر كتير
Dina El Rashidy,2,The order was very cold and very very late delivery
Nadine M. Hamed,3,"The hoso and fried sushi where fine (basic) but the crispy shrimp roll was soggy,not crispy and very dull. The food was also cold."
Sarah Shereen,1,The sushi wasnt fresh at all and tastless
Hala,1,أنا حالي اسهال و ترجيع بعد الاكل ب ٥ ساعات لسه فايقه منه النهارده أنا عميله للفرع و بطلب ساعات اون لاين جاي مفرول و غير كل مره
Menna Waleed,4,the order was delicious but it didn't arrive on time
Ali,1,"Very late delivery had to wait full on 2 hours until it arrived, and the sushi was very very tiny and wasn’t cooked well at all. Honestly first and last time ever trying this again. Today is 4/7/2024"
Sarah Afify,5,العرض رائع والمطعم رائع جدا جدا بس المنيوز الابلكيشن نفسه سئ جدا والمندوب متأخر جدا
An Nagi,5,الطيارين بتوع توصيل المطعم دة بالتحديد قمة في الذوق والاحترام والمطعم أكله حلو والماتريال حلوة كالعادة وطازة
An Nagi,5,ممتاز جدا جدا جدا و الاوردر طازة والخامات منتهي الروعة
An Nagi,5,تجربة ممتازة للسوشي الأصلي والخامات جودتها عالية جدا والاكل نضيف وطازة والتغليف محترم والاكل مش بيتأخر في التحضير ولا التوصيل بجد شكرا جزيلا اتبسطت من الطعم جدا
Nahla,5,The portion of the soya sauce wasn’t enough
Yıldız Muhammad,5,"Incredible taste, portions, packaging, and very professional. It truly impressed me 💖"
Salma,3,The hot lemon roll arrived cold although it should be served hot.
Maha Mohamed,4,always the best quality soy sauce was thin
pierre,5,حلوا جدا و معاه كل ال souces
malak belal,2,The sushi didn’t taste fresh at all it tastes awful I used to order from ama a lot but this time it’s terrible
Rowan Hesham,5,Lovely taste as always frim AMA
Mariam,5,تححححفهه
Hagar,5,
Revan George,2,The order came with no soy sauce and wasabi
A.,1,I didn’t receive the order
Marah,1,Insect in the food
Dina Salah,3,elakl mknsh so5n kan bard gdn
Rana Osama Abou El-Nour,4,sushi rolls are getting much smaller
Mayada Ghaith,3,السوشي مكنش فريش طعمة كان باين انه بايت
Fatima Salama,5,تحفة
Aseel Maher,1,the portions were all reduced although the price remained unchanged. الكميات قليلة رغم ان السعر زي ما هو
An Nagi,5,الطيارين بتوع توصيل المطعم دة بالتحديد قمة في الذوق والاحترام والمطعم أكله حلو والماتريال حلوة كالعادة وطازة
An Nagi,5,ممتاز جدا جدا جدا و الاوردر طازة والخامات منتهي الروعة
An Nagi,5,تجربة ممتازة للسوشي الأصلي والخامات جودتها عالية جدا والاكل نضيف وطازة والتغليف محترم والاكل مش بيتأخر في التحضير ولا التوصيل بجد شكرا جزيلا اتبسطت من الطعم جدا
Nahla,5,The portion of the soya sauce wasn’t enough
Yıldız Muhammad,5,"Incredible taste, portions, packaging, and very professional. It truly impressed me 💖"
Salma,3,The hot lemon roll arrived cold although it should be served hot.
Maha Mohamed,4,always the best quality soy sauce was thin
pierre,5,حلوا جدا و معاه كل ال souces
malak belal,2,The sushi didn’t taste fresh at all it tastes awful I used to order from ama a lot but this time it’s terrible
Rowan Hesham,5,Lovely taste as always frim AMA
Mariam,5,تححححفهه
Hagar,5,
Revan George,2,The order came with no soy sauce and wasabi
A.,1,I didn’t receive the order
Marah,1,Insect in the food
Dina Salah,3,elakl mknsh so5n kan bard gdn
Rana Osama Abou El-Nour,4,sushi rolls are getting much smaller
Mayada Ghaith,3,السوشي مكنش فريش طعمة كان باين انه بايت
Fatima Salama,5,تحفة
Aseel Maher,1,the portions were all reduced although the price remained unchanged. الكميات قليلة رغم ان السعر زي ما هو
Omnia Tantawi,3,no soy sauce or tiryaki
Doaa Samy,5,The sushi wasn’t tasty & fresh as I used to
NOr Han,1,ابشع اوردر جبته في حياتي وحش اوووي الكمية قليلة جدا طعم الحاجات مش باينه من كميتها القليلة طبعا كل حاجة كانت بشعه حرفيا فلوس واترمت علي الارض للاسف
Fayrouz Elgamal,1,The delivery guy was weird
Mayada,1,كان بشع ومزيت. وحش اوي
Fam,2,المستوي في النازل اوي
Wafa Hashim,5,very good glass noodles
Hala,3,Was not fresh and not even hot
Menna Waleed,4,"delicious but arrived too late, and the size of the sushi was smaller than the normal I order the same order every time but this time it's smaller than usual!"
Sara Emad,5,perfect
raghda,1,كمية الشوربه قليله جدا علي سعرها والسوشي مش جاي معاه صويا صوص ولا واسابي
rowan amin,1,السوشي مكنش معمول كويس كان بيتفكك و يقع من بعضه
Marwa,1,الاكل كان بارد وواصل متاخر كتير
Dina El Rashidy,2,The order was very cold and very very late delivery
Nadine M. Hamed,3,"The hoso and fried sushi where fine (basic) but the crispy shrimp roll was soggy,not crispy and very dull. The food was also cold."
Sarah Shereen,1,The sushi wasnt fresh at all and tastless
Hala,1,أنا حالي اسهال و ترجيع بعد الاكل ب ٥ ساعات لسه فايقه منه النهارده أنا عميله للفرع و بطلب ساعات اون لاين جاي مفرول و غير كل مره
Menna Waleed,4,the order was delicious but it didn't arrive on time
Ali,1,"Very late delivery had to wait full on 2 hours until it arrived, and the sushi was very very tiny and wasn’t cooked well at all. Honestly first and last time ever trying this again. Today is 4/7/2024"
Sarah Afify,5,العرض رائع والمطعم رائع جدا جدا بس المنيوز الابلكيشن نفسه سئ جدا والمندوب متأخر جدا
Hisham M,4,sauces need to be increased
Yousef,1,الاكل مش طازه وفي بواقي أرز بعيد عن القطع اكن العلبه كان متآكل فيها وبعدها الاوردر اتجهز فيها بردو
nada ashraf,3,Awel mara atlob mn far3 el tagamo3 w el haga kanet m2leia wehesh
Omneya Ibrahim,3,Food was cold
Khalid,1,للاسف تاخير غير مبرر و الاكل بيصل يعد ساعتين و حاجة سيئة جدا
Menah Kaboud,1,للأسف القطع بارده وكلها مفكوكه غير كدا الطعم مش أحسن حاجه أول مرّه اطلب بجد ويوصل بالأوردر بالسوء ده
Salma El Sherif,1,it tasted so bad it was veryy stale
Hanaa Awwad,1,السوشي كان بايت وطعمه وحش وشايلين جبنه فلادلفيا من عليه!!
Radwa,3,That was mainly rice .. actual seafood is barely seen
Sara,1,اولا الصوصات قليله جدا علي اوردر كبير زي ده و الاوردر كان بارد و ديما مافيش ايزي استيك و بعدين الافوكادو الي كان في القطع بشعه طبعا غير اسلوب الديلفيري السء للغايه انا بعد ماكنت بحب اطلب منه ممكن ما اطلبش تاني
Yassin Ahmed,4,You need to change your teryaki sauce
Tareq Dahroug,3,Very small pieces
Aya Tharwat,2,ال hoso بجد كان ملفوف شبه ورق العنب و الحاجه كانت متبهدله ف العلبه .ده غير اني بطني وجعتني جدا بعد ماكلت ب ٥ دقايق
Yara Mohamed,3,"the order was alright, but the crab sticks were tasteless and the avocado wasn't fresh."
Ahmed m3tmed,3,nothing further
Moe Sattar,5,جميل جدا
Nada Khaled,1,Order came missing a whole platter
SHADY,3,The order had no salmon in one of the fried portions and there was no avocado! I’ve been ordering the same order several times. This time the taste wasn’t good at all .. you guys mixed the fried rolls with the raw one in the same package and it was c...
engy,3,The sushi was small
doodie79,5,But late delivery
Heba Fadel,4,Soy sauce is too little
Mostafa,4,late delivery
Mennatallah,1,It wasn’t fresh as usual.
Reem Ahmed Samir,2,Very small sushi piece sizes compared to every time
Oula Ashraf,1,"they’re only 12 pieces, where’s the offer??!!"
Heba Fadel,4,"Soy sauce was too little, everything else was fine."
Basmala,5,Was so good and fresh really delivery take no time
Afnan,1,Pieces are cold salmon tastes super bad i really dont like it
MohaMed ReDa,1,ياريت حد يتواصل معايا في اسرع وقت
nada essam,2,Very bad
Radwa Maher Ali,2,المفروض يجي ٢ spicy mayoو اتنين teriyaki اصلا و انا طالبا زيادة واحد من كل حاجة جية الاساسي بس
Heba,4,"Very slow delivery though! Food was hot and fresh! I was really afraid of the bad reviews i read in here! The called to follow up, which is good!"
Ayat Mahmoud,1,very bad not fresh
Shery Mahamed,1,food is cold
Youssef Mowafak,1,Just overall disappointed
Minnahtullah Moataz Ghorab,1,القطع حجمها صغير، و السوشي جاي مقلوب فوق بعضه.. و كان كمان ساقع ! بجد سيئ
Nada Nael,1,Very bad quality
Sahar M,5,Not bad
Sara Pubg,1,الم فظيع بعد الاكل
Hanan Mostafa,5,
Jehan Al Taji,4,Pieces were smaller than before
Reem Ahmed Samir,5,The delivery is always late
Laila,5,Very very delicious and high quality
SHADY,2,Avocado was black Rolls were not that good this time They placed the fried rolls with the raw ones in the same plate so the raw salmon wasn’t raw anymore cause they were in one plate!!! Disappointed
Haidy Allouba,2,Too little
Yasmeen,3,D
abdulbosit,1,تعمه وحش
Riham Raafat,1,Very bad
Riham,5,"Very delicious food, perfect packaging and very clean as usual."
Reem Ahmed Samir,3,Order was late :(
