Name,Stars,Review
Angham Abdel Rehim,1,اسوء طعم fried chicken ممكن حد ياكله .. اسوء اوردر ع الاطلاق الفراخ كلها زيت و مفيهاش تتبيلة و لا طعم بجد انا رميت الاكل مقدرتش اكمله من بشاعته و من طعم الزيت
Noran Hussein,3,اتقلي زياده
Haneen M-Ayoub,5,
Marwa Adel,2,not good taste
Mohamed Magdi,3,Saltless and breading was soft
Yasmina,1,Bbos
Reemoo,1,Thé driver is very bad
badr,1,مقرف اوي حقيقي بطاطس بايتة و فراخ ملهاش طعم
Ezz,5,Food tasted weird.
Dona Attia,1,على اد ما كان من أفضل مطاعم الفرايد تشيكن اللى بطلب منها بقي حاليا من اسوء مطاعم الفرايد تشيكن وبنصح محدش يجيب منه
Mohamed,2,الاكل كان بارد ومجاش معاه البيبسي و العلبه كانت مش نظيفه
rawan,5,"Good food, great delivery♥️"
Hanaa Abdelfattah,1,الساندوتش كان بارد و سئ جدا جدا مفيش اي صوص جواه زي ما انا طالبة المفروض و الفراخ بايتة حقيقي ميستحقش الفلوس و ديه تاني مره يحصل نفس الشئ و ادي للمكان ده فرصة
Ebtehal Elnoras,5,محترم جدا جدا بجد
ahmed yosef,5,كميه الرز بس كانت قليله اوي
Jailan Atallah,1,بتاع الدليفري وافق على الاوردر وبعد اكتر من ساعه رفض التوصيل وواحد تاني بعد الوقت ده كله هو اللي وصل الاكل بارد والصوص مدلوق في الكيس، قمه في الاستهتار مفيش متابعه من منيوز ولا مساعده
Maram Hadid,1,the twister was dripping oil and the burger was cold and stale
Ahmed Saad,1,الاوردر جه من غير كلو سلو
Ahmed,3,portions much smaller than before
mohamed ashraf,1,طلبت 7up وجه بيج كولا ميرندا برتقال والاكل جه سبايسي وانا طالبه عادي
Omar Sherif,1,"the order was late, and i ordered cola and they sent orange"
Omar Sherif,2,delivery was very late and I ordered cola and they decided to send me orange instead without asking
Omar,3,Chicken not spicy
Mohamed badr,1,الفراخ جالى منها تعب فى معدتى واسهال وده من فرع كفر عبده
Rania Attia,1,الفراخ سيئة جدا جدا جدا حجمها صغير اوي وناشفه جدا من جوه
Lili Mahmoud,4,الاكل بيجي بارد للأسف بس كمجمل حلو
Farah Hosny,4,It was spicy although i ordered it an ordinary one
badr,1,مقرف اوي حقيقي بطاطس بايتة و فراخ ملهاش طعم
Ezz,5,Food tasted weird.
Dona Attia,1,على اد ما كان من أفضل مطاعم الفرايد تشيكن اللى بطلب منها بقي حاليا من اسوء مطاعم الفرايد تشيكن وبنصح محدش يجيب منه
Mohamed,2,الاكل كان بارد ومجاش معاه البيبسي و العلبه كانت مش نظيفه
rawan,5,"Good food, great delivery♥️"
Hanaa Abdelfattah,1,الساندوتش كان بارد و سئ جدا جدا مفيش اي صوص جواه زي ما انا طالبة المفروض و الفراخ بايتة حقيقي ميستحقش الفلوس و ديه تاني مره يحصل نفس الشئ و ادي للمكان ده فرصة
Ebtehal Elnoras,5,محترم جدا جدا بجد
ahmed yosef,5,كميه الرز بس كانت قليله اوي
Jailan Atallah,1,بتاع الدليفري وافق على الاوردر وبعد اكتر من ساعه رفض التوصيل وواحد تاني بعد الوقت ده كله هو اللي وصل الاكل بارد والصوص مدلوق في الكيس، قمه في الاستهتار مفيش متابعه من منيوز ولا مساعده
Maram Hadid,1,the twister was dripping oil and the burger was cold and stale
Ahmed Saad,1,الاوردر جه من غير كلو سلو
Ahmed,3,portions much smaller than before
mohamed ashraf,1,طلبت 7up وجه بيج كولا ميرندا برتقال والاكل جه سبايسي وانا طالبه عادي
Omar Sherif,1,"the order was late, and i ordered cola and they sent orange"
Omar Sherif,2,delivery was very late and I ordered cola and they decided to send me orange instead without asking
Omar,3,Chicken not spicy
Mohamed badr,1,الفراخ جالى منها تعب فى معدتى واسهال وده من فرع كفر عبده
Rania Attia,1,الفراخ سيئة جدا جدا جدا حجمها صغير اوي وناشفه جدا من جوه
Lili Mahmoud,4,الاكل بيجي بارد للأسف بس كمجمل حلو
Farah Hosny,4,It was spicy although i ordered it an ordinary one
Norhan Hesham,3,الاكل مكانش احسن حاجة زي كل مرة
Mina Aboelkhel Sedky,1,الأكل بايظ منكو لله والله مطالب منكو تاني
Seif Mohamed,1,الاكل زفر
Ahmed Nabil,1,طلب خاطئ
Ahmed Reffat,2,وجبة ديكسيس بوكس كانت أفضل من جميع النواحي،الآن حجم الدجاج صغير جدا أقل من نصف دجاجة،المشروب صغر جدا بقى بيج كولا الحجم الصغير بعد ما كان أويسيس،زاد سعر الوجبة 40 جنيه حيث كانت 195 وأصبحت 230 جنيه مع انخفاض الجودة وطول فترة التحضير. آخر مرة أطلب منكم
Khaled,1,الاكل زي الزفت وتوصيل بعد ساعتين من الانتظار و خدمة العملاء مبيعملوش اي حاجة
Mohsen A.,1,worst experience ever
Mohamed Metwally,5,..
مريم فؤاد,1,الكولسلو مجاش ع فكره
Mohammad El-sayed,3,طلبته حراق جه عادي والطعم مش قد كده يعني
Nadin,1,Bacon wasn’t cooked well Fries sause is too bad
Noha,1,اول مرة الفراخ تيجي صغرة و محروقة و البتاع من جوه معجن .. زعلت لأننا بنحبهم
بيشوي الزيات,1,سئ للغايه
Ahmed Kamal,1,المشكله مش من ديكسيز المشكله من المنيوز نفسهم مكنش في ديلفري والاكل اتعمل و مفيش طيار لمدة ساعتين شيء مؤسف
Nada ashour,5,👌🏼
Moawia Hussein,1,never gonna eat from them again
Kiro Allam,1,العيش ناقص
katreen,5,الصراحه جربت مره اول ما فتح معجبنيش بس المره دي حقيقى جميل يستاهل كل جنيه يتدفع فيه الوجبه جايه سخنه ومستويه كويس جدا مقرمشه التتبيله جميله الطعم نضيف وجميل البطاطس مقرمشه وبهاراتها حلوه جدا بجد يستاهل ٥ نجوم
Heba Saed,1,والفراخ اللي جواالساندوتش ناشفة اوي محمرة بزيادة وطعمهامحروق انازعلت اوي المرة دية رغم اني بطلب دايما من عندكم
Asmaa Khaled,1,حجم السندوتش صغير جدا بالنسبة لسعرة العالي جدا
Farha Moustafa,5,الاكل حلو اوي ونضيف وكمان وصل في المعاد مظبوط يمكن قبلها كمان شكرا ليكم💙
Gerges Youssef Khalbous,2,الاكل وصل بارد
Teefaa,1,اخر مره هطلب منكم
ياسمين محمد,5,سخن وجه بسرعة والطعن تحفة
Bassma Elsayed,5,it was really good but the portion is small
نجوى علي,3,الاكل وصل متأخر جدا وبارد بسبب تغيير الطيار على الابلكيشن واللوكيشن كات مش واضح للطيار مع اني كاتبه العنوان بالتفصيل بس المكان على الخريطه محطوط غلط خالص لكن الاكل كان كويس
Shady Emad Alhashash,1,طعم وحش جدا ويوجع البطن
Eslam Soliman,3,البطاطس مش حلوة
Mohamed Habeeb,2,الاوردر كان ناقص العيش والفراخ التتبيلة بتاعتها مش باينه خالص والبطاطس كميتها قليلة جدا
Omar Gamal,2,الصوص قليل
Mohamed Yassin,1,الاوردر سئ جدا
Noran Hussein,3,التتبيلة ضعيفه و البردينج خامق والعيش ناشف هو والكولسلو
Aml Amin Hameed,2,حجم الاسترالي بقي صغير وكميه البطاطس قلت والكوب سلو كرنب من غير جزر ولا صوص
Angham Abdel Rehim,1,اسوء طعم fried chicken ممكن حد ياكله .. اسوء اوردر ع الاطلاق الفراخ كلها زيت و مفيهاش تتبيلة و لا طعم بجد انا رميت الاكل مقدرتش اكمله من بشاعته و من طعم الزيت
Noran Hussein,3,اتقلي زياده
Haneen M-Ayoub,5,
Marwa Adel,2,not good taste
Mohamed Magdi,3,Saltless and breading was soft
Yasmina,1,Bbos
Reemoo,1,Thé driver is very bad
badr,1,مقرف اوي حقيقي بطاطس بايتة و فراخ ملهاش طعم
Ezz,5,Food tasted weird.
Dona Attia,1,على اد ما كان من أفضل مطاعم الفرايد تشيكن اللى بطلب منها بقي حاليا من اسوء مطاعم الفرايد تشيكن وبنصح محدش يجيب منه
Mohamed,2,الاكل كان بارد ومجاش معاه البيبسي و العلبه كانت مش نظيفه
rawan,5,"Good food, great delivery♥️"
Hanaa Abdelfattah,1,الساندوتش كان بارد و سئ جدا جدا مفيش اي صوص جواه زي ما انا طالبة المفروض و الفراخ بايتة حقيقي ميستحقش الفلوس و ديه تاني مره يحصل نفس الشئ و ادي للمكان ده فرصة
Ebtehal Elnoras,5,محترم جدا جدا بجد
ahmed yosef,5,كميه الرز بس كانت قليله اوي
Jailan Atallah,1,بتاع الدليفري وافق على الاوردر وبعد اكتر من ساعه رفض التوصيل وواحد تاني بعد الوقت ده كله هو اللي وصل الاكل بارد والصوص مدلوق في الكيس، قمه في الاستهتار مفيش متابعه من منيوز ولا مساعده
Maram Hadid,1,the twister was dripping oil and the burger was cold and stale
Ahmed Saad,1,الاوردر جه من غير كلو سلو
Ahmed,3,portions much smaller than before
mohamed ashraf,1,طلبت 7up وجه بيج كولا ميرندا برتقال والاكل جه سبايسي وانا طالبه عادي
Omar Sherif,1,"the order was late, and i ordered cola and they sent orange"
Omar Sherif,2,delivery was very late and I ordered cola and they decided to send me orange instead without asking
Omar,3,Chicken not spicy
Mohamed badr,1,الفراخ جالى منها تعب فى معدتى واسهال وده من فرع كفر عبده
Rania Attia,1,الفراخ سيئة جدا جدا جدا حجمها صغير اوي وناشفه جدا من جوه
Lili Mahmoud,4,الاكل بيجي بارد للأسف بس كمجمل حلو
Farah Hosny,4,It was spicy although i ordered it an ordinary one
badr,1,مقرف اوي حقيقي بطاطس بايتة و فراخ ملهاش طعم
Ezz,5,Food tasted weird.
Dona Attia,1,على اد ما كان من أفضل مطاعم الفرايد تشيكن اللى بطلب منها بقي حاليا من اسوء مطاعم الفرايد تشيكن وبنصح محدش يجيب منه
Mohamed,2,الاكل كان بارد ومجاش معاه البيبسي و العلبه كانت مش نظيفه
rawan,5,"Good food, great delivery♥️"
