Name,Stars,Review
Ebrahem Mahmoud,2,الوقت اتاخر والاكل كان بارد
Shady Nasrat,1,للأسف الفراخ والارز والبطاطس كلهم كانوا مزيتين جدااا.
Eman,1,Was very stiff
marwan elgemely,2,.
youssef elmahdy,3,W.
Ziad Abd El-Hady,3,الفراخ محتاجة تستوي اكتر و الاورد كان ٣ ربع صدور جالي ٢ صدور وورك
Mohamed Hassan,3,الفته باردة
Amr Halim,1,الطعم وحش جدًا وكان في زلط في الأكل والبطاطس لونها اسود
Mohamed Magdy,1,الاكل كان سئ جدا و طعمه فعلا وحش و الرز مخزز و كمان العيش ال في الرز عيش محروق و عيش عادي زي عيش التموين فعلا تجربه في منتهي السوء
Nour Shehab,1,خرا
Rwan Maged,1,السندوتشات متحمره زياده ع اللزوم و محروق من حتت بجد سئ جدا جدا آخر مره اتعامل معاكم
نور الدين,5,ممتاز
Zyad Mohamed,1,مقرف
Mohamed,1,سئ جدا للاسف
Malak Ashraf,5,الاكل كالعاده جميل بس الراجل اتأخر اوي و كل مره نفس الراجل و كل مره نفس التأخير ده مش فاهمه في ايه ، بيستلم الاوردر و يقعد يلف حوالين المطعم بلا هدف و ميبدأش يتحرك عشان يوصل غير بعد ما يعدي نص ساعه و يعدي الEstimated arrival معرفش ليه بيعمل كده بجد
Abdelrahman Emad,5,Great delivery. Thanks and stay safe🙏
Abdallah Nasser,5,من أسوأ الكباتن الي تعاملت معاهم اسلوبا واخلاقا وذوقا ردئ فعليا
Muhammad Alnaqeeb,3,الطيار قليل الادب وغير محترم ومكنش معاه الابلكيشن.
محمد عبد المنعم,1,ساندويتش بطاطس سئ جدًا وبشع بارد وطعم وحش ويعتبر فاضي
Reham Nabel Nada,1,الأكل وصل بارد جدا والبطاطس ناشفه كول سلو صعب طعمه وحش جدا والشيش طاووق سئ والله اوردر صعب كله ندمت اكبر ندم اني طلبت من كرم الشام اول مره اطلب واخر مره واستغربت التقييم هوه اللي خلاني اطلبه !!!
Hala El-afifi,1,الاكل بارد جداااا
Khalid,1,الاوردر موصلش اصلا فاعد بقالي ساعتين مستني ومفيش حاجه جت اخر مره اطلب منه
Mahmoud Sarhan,1,الاكل سئ و هيتم عمل شكوى بالطلب لان الفراخ كلها زفره و مش هتتاكل و الأكل مجلد للأسف اول مره و آخر مره نطلب منهم
Noha Samir,5,فراخ كانت زفره جداوصوص ثوميه ملهوش طعم
Kim taehyung,5,تتبيلة الشاورما طعمها جميل بصراحة
Habiba,1,El btates kanet bayza w el gebna bayza w el sandwish msh nedeff
Walied Kassem,3,الطلب وصل متاخر مش سخن
ahmed,1,الاوردر سيئ جدا الفراخ ملهاش علاقة بالشيش لا انصح بالتعامل مع المطعم مرة اخري
Malak Ashraf,5,يا رب تفضلوا دايما بنفس المستوي الجميل ده ♥️
Nour Shehab,1,زي الخرا السندوتشات فاضية مفيهاش حشو و مفيش توميه و اسوء تجربة من عندكم !!!!
Menna Ahmed,5,الطيار محترم و متعاون جدا
Rana Hesham,1,الاوردر فيه تومية و دي مش اول مرة يحط حاجه انا مش عوزاها فالاكل
Ahmed Yehia,1,الاوردر موصلش اصلا وقعد مستنيه ومفيش حاجه وصلت
Kiro Rami,5,.
Ahmed Taha,1,bad taste at all
Dr-safy Mohammed,1,البطاطس سيئه للغايه مع اني مأكده و العيش سئ بيشد جدا
نور الدين,5,ممتاز
Moe,5,السوبريم كان سئ جدا جدا
Sayed Abady,1,الطلب غلط ووقت التوصيل اتأخر و طعم ورائحة الاكل مش حلوة
YAHIA ELSHERBINY,1,الطعم كان سئ جدا
Ziad Negmy,2,Should be more careful
Ziad,1,اكل سيء
Eme Mo,5,وجبه جميله
Eslam Eltrawey,2,سئ ومتبهدل
Malak Ashraf,5,حقيقي من اجمل الاوردرات اللي طلبتها في حياتي ♥️
Ziad Shalaby,5,"Didn't get me coca cola instead got me big cola ❤️, honestly the best shawrema place and amazing prices."
Walied Kassem,3,الطلب وصل متاخر مش سخن
ahmed,1,الاوردر سيئ جدا الفراخ ملهاش علاقة بالشيش لا انصح بالتعامل مع المطعم مرة اخري
Malak Ashraf,5,يا رب تفضلوا دايما بنفس المستوي الجميل ده ♥️
Nour Shehab,1,زي الخرا السندوتشات فاضية مفيهاش حشو و مفيش توميه و اسوء تجربة من عندكم !!!!
Menna Ahmed,5,الطيار محترم و متعاون جدا
Rana Hesham,1,الاوردر فيه تومية و دي مش اول مرة يحط حاجه انا مش عوزاها فالاكل
Ahmed Yehia,1,الاوردر موصلش اصلا وقعد مستنيه ومفيش حاجه وصلت
Kiro Rami,5,.
Ahmed Taha,1,bad taste at all
Dr-safy Mohammed,1,البطاطس سيئه للغايه مع اني مأكده و العيش سئ بيشد جدا
نور الدين,5,ممتاز
Moe,5,السوبريم كان سئ جدا جدا
Sayed Abady,1,الطلب غلط ووقت التوصيل اتأخر و طعم ورائحة الاكل مش حلوة
YAHIA ELSHERBINY,1,الطعم كان سئ جدا
Ziad Negmy,2,Should be more careful
Ziad,1,اكل سيء
Eme Mo,5,وجبه جميله
Eslam Eltrawey,2,سئ ومتبهدل
Malak Ashraf,5,حقيقي من اجمل الاوردرات اللي طلبتها في حياتي ♥️
Ziad Shalaby,5,"Didn't get me coca cola instead got me big cola ❤️, honestly the best shawrema place and amazing prices."
Mohamed Tarek,2,Taste was not good and cold food
mohamed kamal,1,الفراج مجلدة
Ziad Negmy,4,.
Mariam Ayman,5,الطيار محترم جدا ربنا يباركله
Fahd Fouad,2,الاكل بارد وسئ الطعم جدا
Omar Hussien,1,Fajita fatah tastes really bad Chicken in the healthy option is not seasoned and so dry
AL HOUT,3,الاكل مش سخن
Ahmed Saad,5,وجبة رهيبة بصراحة حلوة جدا ومتنوعة بشكل جميل
Ali,5,.
Amira Mohamed,5,الحشو محتاج يزيد شويه
نور الدين,5,ممتاز
Copy Alfilo Filo,5,مطعم محارم جدا
Rowan Hossam,1,طعمه مكنش حلو خالص وفاضي
Dina Gamal,1,الاكل اوفر براسيد و مش احسن حاجة مش هطلب منهم تانى
Radwa Ahmed Keretna,5,الكمية بالشاورما محتاجه تزيد
Ômār Àli,5,Na
Kiro Rami,5,.
Rania Hamdy,1,كواليتي الاكل رديئة جدا
Rania Hamdy,1,الاكل مش حلو خالص الكواليتي ف الارض مفيش حاجه واحده ف الاكل جت كويسة من اول البطاطس لحد طبق الفتة اللي كل حاجه فيه رديئة
Esraa,1,الفراخ زفرة اوي اوي
Mohamed Tarek,4,driver took more money without giving change
Saeed,1,بجد سندوتش chicken supreme زى الزفت و مفيهوش ريحه الفراخ حرفيا و طعمه زفت
Ahmed Elshorbagi,3,كميات قليله ولكن جيده
Rawda Fawzy,1,انا تعبت جدا من الاكل بجد يا ريت تشوفوا بتحطوا فيه ايه
نور الدين,5,ممتاز
Karim Hamdy,4,"missing order from rest and agent menus his name is hossam didn't show empathy and didn't give customer more infor about policy menus company about mising items , forced customer to insult and cursing agent agent need more exp ,coaching from his TL"
Eslam Eltrawey,1,الرز قليل جدا ميكفيش فرد
Hassan Basset,1,الاوردر جالي من غير قطعه البانيه الكولسلو حمضانه ومنغير بطاطس
Ahmed Kesho,5,الاكل جه سخن ومطعم نضيف جدا
Amrr Mohamed,1,"It was literally the worst food i had ever eaten, the food taste was like shit and the meat shawrma sandwich look like it was Spoiled food"
Allaa Mamdouh,3,Mkansh ahsn haga
Ahmed Kesho,5,الاكل ممتاز جدا وجه سخن بس عندي ملحوظة علي التومية الخارجية انها بتبقي خفيفة
Bassem,5,كانت ناشفه اوي الفراخ
Khaled Mohamed,5,من احسن المطاعم اللي اتعاملت معاهم الاكل تحفه بذات قنبله الجبن دي حوار😍😋🔥🔥
moataz medhat,1,الدليفري اتاخر و قالي انا معايا اوردر اوصله و اجيلك مش المفروض بياخد الاوردر بتاعي و يجيلي
Mahmoud Alaa Eldin,1,الأكل كان طعمه سئ والساندوتشات فاضيه ومش مخدوم نهائياً و العيش بايت
Mahmoud Ebada,1,البطاطس كل مرا اكتب يرجى التهويه و بتيجي معجنه بالزيت
Hamada Adel,1,الفراخ مش حلوة خلاص التتبيلة ضعيفة
Patick,3,البطاطس كتير والفراخ قليله
Hesham M Tourkey,1,الوجبة متكفيش طفل عنده ١٠ سنين و جايلي قطعتين فراخ الواحد يتكسف ياكلهم
Mohamed Tarek,4,driver took more money without giving change
Saeed,1,بجد سندوتش chicken supreme زى الزفت و مفيهوش ريحه الفراخ حرفيا و طعمه زفت
Ahmed Elshorbagi,3,كميات قليله ولكن جيده
Rawda Fawzy,1,انا تعبت جدا من الاكل بجد يا ريت تشوفوا بتحطوا فيه ايه
نور الدين,5,ممتاز
Karim Hamdy,4,"missing order from rest and agent menus his name is hossam didn't show empathy and didn't give customer more infor about policy menus company about mising items , forced customer to insult and cursing agent agent need more exp ,coaching from his TL"
Eslam Eltrawey,1,الرز قليل جدا ميكفيش فرد
Hassan Basset,1,الاوردر جالي من غير قطعه البانيه الكولسلو حمضانه ومنغير بطاطس
